[2026-06-07 21:04:56] PROCESS:agent-leak-app CPU:0.0% MEM:0.0% RSS:2MB DISK:950G FIREWALL:inactive
[2026-06-07 21:04:58] PROCESS:agent-leak-app CPU:4.0% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:00] PROCESS:agent-leak-app CPU:1.9% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:02] PROCESS:agent-leak-app CPU:1.6% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:04] PROCESS:agent-leak-app CPU:1.2% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:06] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:08] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:10] PROCESS:agent-leak-app CPU:0.9% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:12] PROCESS:agent-leak-app CPU:1.0% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:14] PROCESS:agent-leak-app CPU:1.0% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:16] PROCESS:agent-leak-app CPU:0.9% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:18] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:20] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:22] PROCESS:agent-leak-app CPU:1.0% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:24] PROCESS:agent-leak-app CPU:1.0% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:27] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:29] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:05:31] PROCESS:agent-leak-app STATUS:NOT_RUNNING (프로세스 종료 감지)
