[2026-06-07 21:06:39] PROCESS:agent-leak-app CPU:0.0% MEM:0.0% RSS:2MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:41] PROCESS:agent-leak-app CPU:3.4% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:43] PROCESS:agent-leak-app CPU:1.7% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:45] PROCESS:agent-leak-app CPU:1.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:47] PROCESS:agent-leak-app CPU:0.9% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:49] PROCESS:agent-leak-app CPU:0.6% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:51] PROCESS:agent-leak-app CPU:0.6% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:53] PROCESS:agent-leak-app CPU:0.5% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:55] PROCESS:agent-leak-app CPU:0.4% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:57] PROCESS:agent-leak-app CPU:0.3% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:06:59] PROCESS:agent-leak-app CPU:0.3% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:01] PROCESS:agent-leak-app CPU:0.3% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:03] PROCESS:agent-leak-app CPU:0.3% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:05] PROCESS:agent-leak-app CPU:0.2% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:07] PROCESS:agent-leak-app CPU:0.2% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:09] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:11] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:13] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:15] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:17] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
[2026-06-07 21:07:19] PROCESS:agent-leak-app CPU:0.1% MEM:0.0% RSS:18MB DISK:950G FIREWALL:inactive
