,count,unique,top,freq,mean,min,25%,50%,75%,max,std
invoice_no,541909,25900,573585,1114,,,,,,,
stock_code,541909,4070,85123A,2313,,,,,,,
product_name,540455,4223,WHITE HANGING HEART T-LIGHT HOLDER,2369,,,,,,,
quantity,541909.0,,,,9.55224954743324,-80995.0,1.0,3.0,10.0,80995.0,218.08115785023386
order_date,541909,,,,2011-07-04 13:34:57.156386,2010-12-01 08:26:00,2011-03-28 11:34:00,2011-07-19 17:17:00,2011-10-19 11:27:00,2011-12-09 12:50:00,
unit_price,541909.0,,,,4.611113626088514,-11062.06,1.25,2.08,4.13,38970.0,96.75985306117937
customer_id,406829.0,,,,15287.690570239585,12346.0,13953.0,15152.0,16791.0,18287.0,1713.600303321598
country,541909,38,United Kingdom,495478,,,,,,,
category,541909,9,Home Decor,133271,,,,,,,
amount,541909.0,,,,17.987794876999644,-168469.6,3.4,9.75,17.4,168469.6,378.8108235059747
