model,alpha,feature,coefficient
Ridge,0.01,age,-0.9757276443061389
Ridge,0.01,annual_income,57.92487532788615
Ridge,0.01,spending_score,-0.16041140542003993
Ridge,0.01,debt_ratio,-28.978995196689926
Ridge,0.01,credit_card_count,0.1729320518526707
Ridge,0.01,overdue_count_6m,-35.88160648355935
Ridge,0.01,income_band_high,0.4497844512248087
Ridge,0.01,income_band_low,0.14934138528794372
Ridge,0.01,income_band_middle,-0.5991258542326451
Ridge,0.01,debt_level_high,0.19656331341091993
Ridge,0.01,debt_level_low,-0.3460468914594228
Ridge,0.01,debt_level_middle,0.14948357622667965
Ridge,0.01,age_band_20s,-1.4470222218733924
Ridge,0.01,age_band_30_40s,0.011291329357783998
Ridge,0.01,age_band_45_50s,0.33892560296155316
Ridge,0.01,age_band_60s,1.0968052883758626
Ridge,0.1,age,-0.9750583723193667
Ridge,0.1,annual_income,57.92235134363019
Ridge,0.1,spending_score,-0.16040289933962787
Ridge,0.1,debt_ratio,-28.976278521403966
Ridge,0.1,credit_card_count,0.17293599826083164
Ridge,0.1,overdue_count_6m,-35.881182276023715
Ridge,0.1,income_band_high,0.4536379618409093
Ridge,0.1,income_band_low,0.14555106499820564
Ridge,0.1,income_band_middle,-0.5991890287382381
Ridge,0.1,debt_level_high,0.1932870795859127
Ridge,0.1,debt_level_low,-0.34271704742866116
Ridge,0.1,debt_level_middle,0.1494299680688396
Ridge,0.1,age_band_20s,-1.4459561105886507
Ridge,0.1,age_band_30_40s,0.011589273848762469
Ridge,0.1,age_band_45_50s,0.33857597716966703
Ridge,0.1,age_band_60s,1.0957908594592818
Ridge,1.0,age,-0.968430785999275
Ridge,1.0,annual_income,57.89717929045895
Ridge,1.0,spending_score,-0.16031810073596583
Ridge,1.0,debt_ratio,-28.949218806984224
Ridge,1.0,credit_card_count,0.1729754265449375
Ridge,1.0,overdue_count_6m,-35.87694136776309
Ridge,1.0,income_band_high,0.4920401901800117
Ridge,1.0,income_band_low,0.10777865892532379
Ridge,1.0,income_band_middle,-0.5998188492942524
Ridge,1.0,debt_level_high,0.16066711067471182
Ridge,1.0,debt_level_low,-0.30956241187430883
Ridge,1.0,debt_level_middle,0.14889530120653932
Ridge,1.0,age_band_20s,-1.4353937786710935
Ridge,1.0,age_band_30_40s,0.014535935977750245
Ridge,1.0,age_band_45_50s,0.33511442795628443
Ridge,1.0,age_band_60s,1.0857434147253522
Ridge,10.0,age,-0.9080761741273936
Ridge,10.0,annual_income,57.652020490536096
Ridge,10.0,spending_score,-0.15949523416001427
Ridge,10.0,debt_ratio,-28.688885474363904
Ridge,10.0,credit_card_count,0.17336641663225663
Ridge,10.0,overdue_count_6m,-35.8346462499186
Ridge,10.0,income_band_high,0.8632076978127976
Ridge,10.0,income_band_low,-0.2572825583975517
Ridge,10.0,income_band_middle,-0.6059251394325007
Ridge,10.0,debt_level_high,-0.15188189068440608
Ridge,10.0,debt_level_low,0.008195571936802407
Ridge,10.0,debt_level_middle,0.14368631874768523
Ridge,10.0,age_band_20s,-1.3387589270061677
Ridge,10.0,age_band_30_40s,0.04103387981208309
Ridge,10.0,age_band_45_50s,0.30365166200097676
Ridge,10.0,age_band_60s,0.9940733851920939
Ridge,100.0,age,-0.6017096455188258
Ridge,100.0,annual_income,55.692885939640284
Ridge,100.0,spending_score,-0.15300229611308397
Ridge,100.0,debt_ratio,-26.804084068649374
Ridge,100.0,credit_card_count,0.17707565634100197
Ridge,100.0,overdue_count_6m,-35.421206582189626
Ridge,100.0,income_band_high,3.612314901150781
Ridge,100.0,income_band_low,-2.9600905520817005
Ridge,100.0,income_band_middle,-0.6522243490710391
Ridge,100.0,debt_level_high,-2.3228936128488744
Ridge,100.0,debt_level_low,2.2210458591012445
Ridge,100.0,debt_level_middle,0.10184775374746398
Ridge,100.0,age_band_20s,-0.8270833656202573
Ridge,100.0,age_band_30_40s,0.16148756719864893
Ridge,100.0,age_band_45_50s,0.14612237223997446
Ridge,100.0,age_band_60s,0.5194734261815548
Lasso,0.01,age,-0.589371334990728
Lasso,0.01,annual_income,57.948361572912184
Lasso,0.01,spending_score,-0.1507458622582009
Lasso,0.01,debt_ratio,-28.793019210992085
Lasso,0.01,credit_card_count,0.1628846106779212
Lasso,0.01,overdue_count_6m,-35.87033164267213
Lasso,0.01,income_band_high,0.16273873434881633
Lasso,0.01,income_band_low,0.0
Lasso,0.01,income_band_middle,-0.767645461184928
Lasso,0.01,debt_level_high,0.0
Lasso,0.01,debt_level_low,-0.05933854476764345
Lasso,0.01,debt_level_middle,0.14987736307687988
Lasso,0.01,age_band_20s,-1.0253698067611856
Lasso,0.01,age_band_30_40s,0.0034001762681724204
Lasso,0.01,age_band_45_50s,-0.0
Lasso,0.01,age_band_60s,0.3361998511983371
Lasso,0.1,age,-0.11225020993776197
Lasso,0.1,annual_income,57.908646692471166
Lasso,0.1,spending_score,-0.06469398066597568
Lasso,0.1,debt_ratio,-28.678379909661047
Lasso,0.1,credit_card_count,0.07248158105052904
Lasso,0.1,overdue_count_6m,-35.77601402128907
Lasso,0.1,income_band_high,0.0
Lasso,0.1,income_band_low,0.0
Lasso,0.1,income_band_middle,-0.43376260829551017
Lasso,0.1,debt_level_high,-0.0
Lasso,0.1,debt_level_low,0.0
Lasso,0.1,debt_level_middle,0.0
Lasso,0.1,age_band_20s,-0.0
Lasso,0.1,age_band_30_40s,0.1264640239013039
Lasso,0.1,age_band_45_50s,-0.0
Lasso,0.1,age_band_60s,-0.0
Lasso,1.0,age,-0.0
Lasso,1.0,annual_income,57.0237016058687
Lasso,1.0,spending_score,-0.0
Lasso,1.0,debt_ratio,-27.77734804267325
Lasso,1.0,credit_card_count,0.0
Lasso,1.0,overdue_count_6m,-34.86787123774944
Lasso,1.0,income_band_high,0.0
Lasso,1.0,income_band_low,-0.0
Lasso,1.0,income_band_middle,-0.0
Lasso,1.0,debt_level_high,-0.0
Lasso,1.0,debt_level_low,0.0
Lasso,1.0,debt_level_middle,0.0
Lasso,1.0,age_band_20s,-0.0
Lasso,1.0,age_band_30_40s,0.0
Lasso,1.0,age_band_45_50s,-0.0
Lasso,1.0,age_band_60s,-0.0
Lasso,10.0,age,-0.0
Lasso,10.0,annual_income,48.04458070637756
Lasso,10.0,spending_score,0.0
Lasso,10.0,debt_ratio,-18.813297183180598
Lasso,10.0,credit_card_count,0.0
Lasso,10.0,overdue_count_6m,-25.79000079322152
Lasso,10.0,income_band_high,0.0
Lasso,10.0,income_band_low,-0.0
Lasso,10.0,income_band_middle,-0.0
Lasso,10.0,debt_level_high,-0.0
Lasso,10.0,debt_level_low,0.0
Lasso,10.0,debt_level_middle,-0.0
Lasso,10.0,age_band_20s,0.0
Lasso,10.0,age_band_30_40s,0.0
Lasso,10.0,age_band_45_50s,-0.0
Lasso,10.0,age_band_60s,-0.0
Lasso,100.0,age,0.0
Lasso,100.0,annual_income,0.0
Lasso,100.0,spending_score,0.0
Lasso,100.0,debt_ratio,0.0
Lasso,100.0,credit_card_count,0.0
Lasso,100.0,overdue_count_6m,0.0
Lasso,100.0,income_band_high,0.0
Lasso,100.0,income_band_low,0.0
Lasso,100.0,income_band_middle,0.0
Lasso,100.0,debt_level_high,0.0
Lasso,100.0,debt_level_low,0.0
Lasso,100.0,debt_level_middle,0.0
Lasso,100.0,age_band_20s,0.0
Lasso,100.0,age_band_30_40s,0.0
Lasso,100.0,age_band_45_50s,0.0
Lasso,100.0,age_band_60s,0.0
