model,alpha,rmse,mae,r2
Lasso,0.01,30.118278104856145,23.919503469008674,0.8612544390181955
Lasso,0.1,30.12080433861273,23.922252421318102,0.8612311628921085
Ridge,0.01,30.120841021082885,23.92163930187777,0.8612308248940412
Ridge,0.1,30.120841299596943,23.921612122603133,0.8612308223277673
Ridge,1.0,30.12084995917291,23.92134162568306,0.8612307425370073
Ridge,10.0,30.121490573679626,23.919141851375258,0.8612248397457594
Ridge,100.0,30.16269533629404,23.93599881619629,0.8608449044545877
Lasso,1.0,30.22027335961306,23.97694164074259,0.8603131268648613
Lasso,10.0,35.23679384199028,28.21390698849289,0.8100883574423274
Lasso,100.0,80.87369172908224,64.730243625,-0.0003992454252514932
